_id,DEV_UID,ZONE_UID,FLOOR_ID,DEV_NAME,DEV_TYPE,DEV_NO,PRODUCT_ID,DEV_CH,IS_VOICE_SHORT_CUT
1,01500001,00,00,玄关柜灯带,01,50,00,01,0
2,01500002,00,00,玄关筒灯,01,50,00,02,0
3,01510000,00,00,餐厅灯带,01,51,00,00,0
4,01510001,00,00,餐厅主灯,01,51,00,01,0
5,01510002,00,00,客厅主灯,01,51,00,02,0
6,01520000,00,00,餐厅筒灯,01,52,00,00,0
7,01520001,00,00,客厅筒灯,01,52,00,01,0
8,01520002,00,00,过道灯,01,52,00,02,0
9,01530000,01,00,主卧灯带,01,53,00,00,0
10,01530001,01,00,主卧衣帽,01,53,00,01,0
11,01550000,01,00,主卧主灯,01,55,00,00,0
12,08011903,02,00,客厅空调,08,01,19,03,0
13,08011905,02,00,主卧空调,08,01,19,05,0
14,08011904,02,00,次卧空调,08,01,19,04,0
15,08011901,02,00,书房空调,08,01,19,01,0
16,08035901,02,00,新风,08,03,59,01,0
17,0801F103,03,00,客厅地暖,08,01,F1,03,0
18,0801F105,03,00,主卧地暖,08,01,F1,05,0
19,0801F104,03,00,次卧地暖,08,01,F1,04,0
20,0801F101,03,00,书房地暖,08,01,F1,01,0
21,0801F104,03,00,离开模式,08,01,F1,04,0
